tweet_id,favorites,retweets,user_followers,user_favourites,date_time
865718153858494464,26640,6008,3200891,114031,2017-05-19 23:57:46
865359393868664832,27530,5384,3200891,114031,2017-05-19 00:12:11
865006731092295680,29063,8209,3200891,114031,2017-05-18 00:50:50
864873206498414592,33651,9361,3200891,114031,2017-05-17 16:00:15
864279568663928832,15195,3266,3200891,114031,2017-05-16 00:41:21
864197398364647424,31459,9616,3200891,114031,2017-05-15 19:14:50
863907417377173506,21477,4441,3200891,114031,2017-05-15 00:02:33
863553081350529029,15935,4489,3200891,114031,2017-05-14 00:34:33
863471782782697472,0,2687,3200891,114031,2017-05-13 19:11:30
863432100342583297,24829,5664,3200891,114031,2017-05-13 16:33:49
863427515083354112,2363,105,3200891,114031,2017-05-13 16:15:35
863079547188785154,9094,1195,3200891,114031,2017-05-12 17:12:53
863062471531167744,8945,2687,3200891,114031,2017-05-12 16:05:02
862831371563274240,20011,5457,3200891,114031,2017-05-12 00:46:44
862722525377298433,17779,3809,3200891,114031,2017-05-11 17:34:13
862457590147678208,21492,5388,3200891,114031,2017-05-11 00:01:27
862096992088072192,66437,21840,3200891,114031,2017-05-10 00:08:34
861769973181624320,0,37911,3200891,114031,2017-05-09 02:29:07
861383897657036800,37744,11528,3200891,114031,2017-05-08 00:54:59
861288531465048066,18032,4479,3200891,114031,2017-05-07 18:36:02
861005113778896900,17538,4119,3200891,114031,2017-05-06 23:49:50
860981674716409858,0,2334,3200891,114031,2017-05-06 22:16:42
860924035999428608,0,882,3200891,114031,2017-05-06 18:27:40
860563773140209665,7878,2334,3200891,114031,2017-05-05 18:36:06
860524505164394496,24678,5698,3200891,114031,2017-05-05 16:00:04
860276583193509888,19154,3745,3200891,114031,2017-05-04 23:34:55
860184849394610176,17474,6295,3200891,114031,2017-05-04 17:30:24
860177593139703809,0,33421,3200891,114031,2017-05-04 17:01:34
859924526012018688,20021,4349,3200891,114031,2017-05-04 00:15:58
859851578198683649,16105,3780,3200891,114031,2017-05-03 19:26:06
859607811541651456,19476,1704,3200891,114031,2017-05-03 03:17:27
859196978902773760,75193,25661,3200891,114031,2017-05-02 00:04:57
859074603037188101,35553,14740,3200891,114031,2017-05-01 15:58:40
858860390427611136,0,8805,3200891,114031,2017-05-01 01:47:28
858843525470990336,16304,3771,3200891,114031,2017-05-01 00:40:27
858471635011153920,22640,5271,3200891,114031,2017-04-30 00:02:42
858107933456039936,16524,3154,3200891,114031,2017-04-28 23:57:28
857989990357356544,16952,2812,3200891,114031,2017-04-28 16:08:49
857746408056729600,36021,11524,3200891,114031,2017-04-28 00:00:54
857393404942143489,6236,1785,3200891,114031,2017-04-27 00:38:11
857263160327368704,21041,4934,3200891,114031,2017-04-26 16:00:39
857214891891077121,242,20,3200891,114031,2017-04-26 12:48:51
857062103051644929,0,183,3200891,114031,2017-04-26 02:41:43
857029823797047296,19910,4364,3200891,114031,2017-04-26 00:33:27
856602993587888130,0,11633,3200891,114031,2017-04-24 20:17:23
856543823941562368,17135,3131,3200891,114031,2017-04-24 16:22:16
856526610513747968,12446,2068,3200891,114031,2017-04-24 15:13:52
856330835276025856,0,731,3200891,114031,2017-04-24 02:15:55
856288084350160898,545,17,3200891,114031,2017-04-23 23:26:03
856282028240666624,29086,6841,3200891,114031,2017-04-23 23:01:59
855862651834028034,320,27,3200891,114031,2017-04-22 19:15:32
855860136149123072,4407,1058,3200891,114031,2017-04-22 19:05:32
855857698524602368,12498,2313,3200891,114031,2017-04-22 18:55:51
855851453814013952,47844,19196,3200891,114031,2017-04-22 18:31:02
855818117272018944,28056,5943,3200891,114031,2017-04-22 16:18:34
855459453768019968,31657,8987,3200891,114031,2017-04-21 16:33:22
855245323840757760,0,6568,3200891,114031,2017-04-21 02:22:29
